samsung,4053,1125969.89
apple,3565,2780997.79
xiaomi,1337,206639.65
huawei,617,136513.97
lucente,307,86585.09
lg,204,78768.21
oppo,185,38619.6
elenberg,167,7127.26
acer,159,84970.77
artel,157,23484.7
bosch,131,26602.24
cordiant,124,5945.33
redmond,121,7968.84
lenovo,120,45590.64
hp,120,37607.01
vitek,117,4362.75
sony,116,33763.87
triangle,101,4798.85
dauscher,95,15319.49
philips,92,9967.59
indesit,77,20257.02
tefal,75,8104.54
beko,74,18657.18
ariston,67,10393.55
polaris,65,2880.42
jbl,64,3161.63
haier,61,17594.87
midea,61,7158.27
casio,60,3584.63
vivo,60,15145.3
meizu,52,7228.91
stels,51,4857.75
nokian,46,4136.51
janome,46,17972.89
yokohama,43,3504.35
nokia,42,2435.69
force,41,6377.35
kingston,40,1450.77
omron,40,2239.23
ea,40,2974.4
rowenta,38,2162.59
scarlett,36,1177.59
prestigio,35,2065.15
oasis,34,1189.75
sokolov,34,4185.28
pioneer,33,4420.47
starline,32,4278.09
huter,32,3860.96
viatti,31,1381.74
hansa,31,9554.09
epson,28,5796.87
navien,27,17994.39
panasonic,27,1709.58
sv,27,7413.34
asus,26,14458.65
kivi,26,4938.36
respect,25,2142.14
montale,25,2380.47
elari,24,1564.49
rondell,24,1370.83
skad,23,4980.05
ballu,23,945.1
bts,22,6298.73
pulser,22,19454.26
bars,22,1711.82
jvc,21,998.42
luminarc,21,1044.69
karcher,21,6425.5
versace,21,1364.55
braun,21,1705.67
brw,21,5338.36
maxwell,20,425.52
transcend,19,934.48
alteco,19,817.73
bridgestone,19,3137.02
yasin,19,5084.81
apacer,18,700.51
huggies,18,228.48
kenwood,18,2058.83
electrolux,18,2370.87
timberk,17,810.47
tp-link,17,972.4
oneplus,17,12687.87
crown,16,659.09
texet,16,314.93
matador,16,1120.41
kitfort,15,1368.5
belecoo,15,1605
orient,14,1890.89
tunga,14,478.27
hubert,14,7700.7
asel,13,772.32
atlant,13,3013.9
canon,13,6345.91
honor,13,2084.9
karya,13,973
tcl,13,4020.65
lanvin,13,612.92
nika,13,488.8
askona,12,2980.6
chanel,12,1972.69
fly,12,407.18
total,12,570.57
sven,12,337.73
rooman,11,570.14
lider,11,4271.15
shivaki,11,1725.38
sega,11,396.11
lorelli,11,762.23
zeta,11,664.87
gefest,11,2231.7
ibox,11,734.47
wonlex,11,330.96
baden,11,966.05
sho-me,11,1592.2
granhel,11,831.93
willmark,10,239.08
vega,10,265
maxxis,10,1041.96
kicx,10,1051.52
gigabyte,10,2272.43
denn,10,373.5
makita,10,3193.8
aeroforce,10,1400.51
dewalt,10,1822.12
remington,10,447.99
eurolux,10,701.88
